CFIHOS unique code,property name,property definition,property data type,property data type length,unit of measure dimension code CFIHOS unique code,unit of measure dimension code,property picklist name CFIHOS unique code,property picklist name,property existence reason description,property synonym name
CFIHOS-40000200,legal registration number,Registration for legal reasons.,Text,40,,,,,,
CFIHOS-40000201,length,Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000202,line pipe material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000203,lining material,Is a material of construction of which a lining is made.,Text,100,,,CFIHOS-50000067,lining material,,
CFIHOS-40000204,liquid hazardous category,The hazardous category of the liquid according to an agreed reference standard.,Text,40,,,CFIHOS-50000068,liquid hazardous category,,
CFIHOS-40000205,liquid name,The name of the product in liquid phase.,Text,40,,,,,,
CFIHOS-40000206,lower limit ambient operating temperature,The temperature which is the lowest ambient temperature at  which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000207,lower limit operating discharge pressure,The discharge pressure which is the lowest pressure at which a functional or physical object is expected to operate,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000208,lower limit operating extraction steam mass flow rate,The mass flow rate which is the lowest extraction steam mass flowrate at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000014,MASFLO,,,,
CFIHOS-40000209,lower limit operating extraction steam pressure,The pressure which is the lowest extraction steam pressure at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000210,lower limit operating extraction steam temperature,The temperature which is the lowest extraction steam temperature at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000211,lower limit operating heat tracing temperature,The temperature which is the lowest heat tracing temperature at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000212,lower limit operating heating steam inlet pressure,The pressure which is the lowest heating steam inlet pressure at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000213,lower limit operating inlet steam pressure,The pressure which is the lowest inlet steam pressure at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000214,lower limit operating inlet steam pressure for auxiliary driver,The pressure which is the lowest inlet steam pressure for the auxiliary driver at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000215,lower limit operating inlet steam pressure for starter,The pressure which is the lowest inlet steam pressure for the starter at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000216,lower limit operating inlet steam pressure injection system,The temperature which is the lowest temperature at  which a functional or physical object is expected to operate at its inlet steam for the steam injection system.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000217,lower limit operating outlet steam pressure,The pressure which is the lowest outlet steam pressure at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000218,lower limit operating inlet steam temperature,The temperature which is the lowest temperature at  which a functional or physical object is expected to operate at its inlet steam.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000219,lower limit operating suction pressure,The suction pressure which is the lowest pressure at  which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000220,lower limit output power,The power which is the minimum power a functional or physical object is expected to deliver.,Number,,CFIHOS-45000016,POWER,,,,
CFIHOS-40000221,lower limit wall thickness,"The minimum allowable thickness of metal that a physical object shall have in order to operate in a safe manner. If the wall thickness varies with height, enter the thickness at the lowest point of the equipment (i.e. where the pressure is greatest).",Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000222,making capacity,The current that a circuit breaker is able to make without being destroyed or causing an electric arc under specified conditions.,Number,,CFIHOS-45000007,ECURR,,,,
CFIHOS-40000223,material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000224,material in galvanic cells,"Material used in an electrochemical cell to form an electrolytic reaction to perform and store electrical energy. E.g. NiCd, Pb",Text,100,,,CFIHOS-50000072,material in galvanic cells,,
CFIHOS-40000225,maximum allowable working pressure new and cold,Is an allowable operating pressure that is the maximum pressure to which a container is allowed to be exposed during operating conditions when the item is new and cold.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000226,maximum back pressure,Is a back pressure that is maximally occurring.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000227,maximum burial depth,Specify the maximum depth of cover as measured from the ground surface to the top of the pipe.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000228,maximum burst pressure,Is a burst pressure that is a upper tolerance burst pressure for a rupture disk.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000229,maximum tube metal temperature,Is a temperature that is the highest at which a significant load can be applied.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000230,minimum burial depth,Specify the minimum depth of cover as measured from the ground surface to the top of the pipe.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000231,minimum burst pressure,Is a burst pressure that is a lower tolerance pressure for a rupture disk.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000232,minimum design metal temperature,"Is a temperature that is the lowest at which a significant load can be applied. Typically applied to a pressure vessel. Defined by the ASME Code, Section VIII, Division 1, paragraph UG-20 (see Section 3).",Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000233,mixer type,Specify whether the mixer is a dynamic (uses mechanical motion to mix fluids) or static (mixes fluids by means of diverging the flow with static obstacles or by increasing locally the velocity),Text,40,,,CFIHOS-50000075,mixer type,,
CFIHOS-40000234,mounting arrangement,Mounting arrangement in conformity with IEC 34-7,Text,40,,,,,,
CFIHOS-40000235,mud drum inside diameter,Is an inside diameter of an item that is the prime inside diameter in case the item has more than one inside diameter.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000236,mud drum length,Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000237,mud drum material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000238,mud drum wall thickness,Is a thickness according to a design.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000239,net tank capacity,The volume of a tank between low liquid level and high liquid level.,Number,,CFIHOS-45000033,VOLUME,,,,
CFIHOS-40000240,nominal battery capacity,The product of 20 hours multiplied by the maximum constant current that a new battery can supply at 20 C (68 F). Denominated as Ah.,Number,,CFIHOS-45000005,CHARGE,,,,
CFIHOS-40000241,nominal current,A current which is the current a functional or physical object has been designed to operate normally.,Number,,CFIHOS-45000007,ECURR,,,,
CFIHOS-40000242,nominal inlet diameter,Is a diameter by which a quantitative diameter is referred to. Typically a standardized value with defined tolerances.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000243,nominal inlet flange size,Is a diameter by which a quantitative diameter is referred to. Typically a standardized value with defined tolerances.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000244,nominal outlet diameter,Is a diameter by which a quantitative diameter is referred to. Typically a standardized value with defined tolerances.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000245,nominal outlet flange size,Is a diameter by which a quantitative diameter is referred to. Typically a standardized value with defined tolerances.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000246,nominal pipe diameter,"The nominal diameter (i.e. not the actual diameter, but an approximate diameter as it may appear on a vendor datasheet) of the equipment at the upstream boundary of the section.",Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000247,nominal size,Is a diameter by which a quantitative diameter is referred to. Typically a standardized value with defined tolerances.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000248,nominal tank capacity,The geometric volume of a tank.,Number,,CFIHOS-45000033,VOLUME,,,,
CFIHOS-40000249,nominal wall thickness,Specify the nominal wall thickness of the equipment at the upstream boundary of the section.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000250,non destructive testing methods,Specify the non destructive group of methods of checking the structural quality of the functional or physical object.,Text,40,,,,,,
CFIHOS-40000252,normal operating cooling water inlet temperature,The temperature at which a functional or physical objects cooling water is expected to operate at its inlet connection.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000253,normal operating cooling water pressure,The pressure at which a functional or physical objects cooling water is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000254,normal operating differential pressure,The differential pressure  at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000255,normal operating dynamic viscosity,The dynamic viscosity at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000004,VISDYN,,,,
CFIHOS-40000256,normal operating extraction steam mass flow rate,The mass flow rate which is the extraction steam mass flow rate at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000014,MASFLO,,,,
