parent equipment class name,equipment class CFIHOS unique code,equipment class name,equipment class definition,abstract class indicator,spare part information required indicator,equipment class existence reason description,equipment class synonym name
IT and telecom equipment,CFIHOS-30000961,camera port,A viewing / mounting portal designed specifically for the use of CCTV in hazardous areas. Built to allow for full camera rotation.,no,no,,
infrastructure,CFIHOS-30000962,ceiling,The upper interior surface of a room or compartment.,no,no,,
infrastructure,CFIHOS-30000963,cell,An Area designed to facilitate safe storage and safe working with hazardous materials.,no,no,,
infrastructure,CFIHOS-30000964,cladding,A covering or coating applied to a structure to make it weathertight.,no,no,,
infrastructure,CFIHOS-30000965,column,"A support which is a cylindrical or slightly tapering body of considerably greater length than diameter, erected vertically as a support.",no,no,,
infrastructure,CFIHOS-30000966,corridor,A gallery or passage connecting parts of a building.,no,no,,
infrastructure,CFIHOS-30000967,duct,"A physical channel that acts as a conduit for fluids, gases, pipes or cables to transfer from one point to another.",no,no,,
infrastructure,CFIHOS-30000968,envelope opening,To allow external access to and egress from a building.,no,no,,
wall,CFIHOS-30000969,envelope wall,Equipment used for the buildings envelope to maintain structural integrity and provide a weatherproof enclosure.,no,no,,
infrastructure,CFIHOS-30000970,equipment room,"A designated room that contains diverse types of engineering, scientific or technical equipment to support plant processes or operations.",no,no,,
infrastructure,CFIHOS-30000971,fixture,Equipment or apparatus which is fixed in position in a building or operational area.,no,no,,
infrastructure,CFIHOS-30000972,floor,"A level contained within a building or industrial compound, that provides safe access and a stable working or operational area for internal structures, equipment & personnel.",no,no,,
infrastructure,CFIHOS-30000973,foul water drainage,"Equipment used to drain foul water, and sewage.",no,no,,
infrastructure,CFIHOS-30000974,groundwater protection,Barrier material used to prevent moisture transmission.,no,no,,
infrastructure,CFIHOS-30000975,gully drain,A drainage channel that can be enclosed like a pipe or can be open with a protective grill. Typically used to collect rainwater or fluid spills in operational or production areas.,no,no,,
infrastructure,CFIHOS-30000976,handrail,"A narrow bar that people can hold on to for support, especially when using stairs.",no,no,,
infrastructure,CFIHOS-30000977,hoistwell,"A hoistwell or hoistway, is a shaft built into a building or structure to allow the lifting of goods and equipment. Designates a given area in a building where there may be a risk to personnel from suspended loads.",no,no,,
infrastructure,CFIHOS-30000978,lagging,A solid layer or covering of protective materials.,no,no,,
infrastructure,CFIHOS-30000979,lead glass window,A type of window designed to enable safe viewing of hazardous areas.,no,no,,
vessel,CFIHOS-30000980,leakage collection system,Equipment used to provide secondary containment of liquids.,no,no,,
infrastructure,CFIHOS-30000981,lintel,"A structural support of concrete or metal, placed over a door or window frame or in other locations where needed.",no,no,,
infrastructure,CFIHOS-30000982,local access equipment,Fixed equipment used to allow ease of access.,no,no,,
piping and pipeline equipment,CFIHOS-30000983,lute sample point,"Multiple types , a point of attachment to pipework that allows samples to be taken.",no,no,,
lifting device,CFIHOS-30000984,mobile platform,"An aerial work platform (AWP), elevating work platform (EWP), or mobile elevating work platform (MEWP) is a mechanical device used to provide temporary access for people or equipment to inaccessible areas, usually at height.",no,yes,,
electrical equipment class,CFIHOS-30000985,rail crossing indicator,A signal at a railway grade crossing that indicates the approach of a Locomotive.,no,yes,,
infrastructure,CFIHOS-30000986,rail key token station,A safety system to govern the use of single rail tracks to ensure only one locomotive can use the track at any one time. The rail key token station controls the issue of key tokens permitting movement.,no,no,,
infrastructure,CFIHOS-30000987,rail track,"A physical object that consists of two parallel steel rails, generally anchored perpendicular to beams or railroad ties of timber, concrete, or steel to maintain a consistent distance apart, to facilitate transport on the rails with vehicles arranged in a train without the need for steering.",no,no,,
infrastructure,CFIHOS-30000988,ramp,"A sloping surface joining two different levels, as at the entrance or between floors of a building.",no,no,,
wall,CFIHOS-30000989,retaining wall,Vertical structure used to resist the lateral pressure of the ground and maintains structural integrity.,no,no,,
infrastructure,CFIHOS-30000990,roof,"A physical object that is the outside upper covering of a house or other building or the ceiling of a room or other covered part of a house, building, etc.",no,no,,
infrastructure,CFIHOS-30000991,roof cover,A cover intended to cover an outer roof.,no,no,,
infrastructure,CFIHOS-30000992,room,Part of the inside of a building that is divided from other areas by walls and a door and that has its own floor and ceiling.,no,no,,
infrastructure,CFIHOS-30000993,sanitary ware,Equipment used to allow drainage of foul water.,no,no,,
wall,CFIHOS-30000994,secondary wall,Equipment used for room separation.,no,no,,
other mechanical equipment,CFIHOS-30000995,shield door,"A hinged or sliding barrier used to control access to a high hazard area, made from robust materials used to protect personnel from exposure to hazards.",no,no,,
"health, safety and environment equipment class",CFIHOS-30000996,sign,Visual signs to convey information or messages relating to item identification and locations. Conforming to standards as per type.,no,no,,
infrastructure,CFIHOS-30000997,staircase,A stepped construction designed to enable users to move between floors or levels within a building or working area.,no,no,,
infrastructure,CFIHOS-30000998,structural ancillary frame,"A framework that is used to add to existing steelwork, to bear the weight of extra shielding or coating or protecting pipework.",no,no,,
wall,CFIHOS-30000999,structural cell wall,"A wall, used to maintain structural integrity, and provide Shielding and Containment.",no,no,,
infrastructure,CFIHOS-30001000,structural floor,"The lower enclosing surface of a room, used to support imposed loads.",no,no,,
infrastructure,CFIHOS-30001001,structural frame,Installed equipment used to provide structural support.,no,no,,
wall,CFIHOS-30001002,structural wall,"A wall used to maintain structural integrity, and provide separation.",no,no,,
infrastructure,CFIHOS-30001003,superstructure,The external fabric of a building that is visible above ground.,no,no,,
infrastructure,CFIHOS-30001004,surface water collection system,Equipment used to direct surface water flow.,no,no,,
infrastructure,CFIHOS-30001005,trench,A narrow excavation of considerable length cut into the ground.,no,no,,
IT and telecom equipment,CFIHOS-30001006,tv access plug,A means of connection for TV equipment to link to remote cameras located inside a shielded area. Also a means of inserting an inspection Camera into a viewing port to enable viewing within restricted access areas.,no,no,,
infrastructure,CFIHOS-30001007,vault,An Area designed to facilitate safe and secure storage of hazardous materials.,no,no,,
infrastructure,CFIHOS-30001008,viewport,A type of portal designed to enable a safe but limited view into a hazardous area.,no,no,,
"health, safety and environment equipment class",CFIHOS-30001009,eye wash bottle,Renewable eye wash bottles mounted in fixed locations.,no,no,,
switchgear and controlgear,CFIHOS-30001010,automatic circuit recloser,"A self-controlled device for making, carrying, and automatically interrupting and reclosing an alternating-current circuit.",no,yes,,
driver,CFIHOS-30001011,pumpjack,An aboveground drive for a reciprocating piston pump in an oil well.,yes,yes,,beam-type pump jack
marine,CFIHOS-30001012,boat,A small open vessel for travelling on water.,no,yes,,
boat,CFIHOS-30001013,rescue boat,A rescue boat designed for rescuing personnel.,no,yes,,
control valve,CFIHOS-30001014,pinch control valve,"A pinch valve is an actuated membrane valve that is comprising a flexible tube, either exposed or enclosed in a body. The tube is pinched to close by mechanical means.",no,yes,,
tank,CFIHOS-30001015,diaphragm tank,A pressure tank divided into two areas: the upper is a fluid storage area and the lower is a gas pressure area with the two areas separated by a diaphragm.,no,yes,,
heat exchanger,CFIHOS-30001016,direct contact heat exchanger,A heat exchanger that allows contact between the hot and cold fluids.,no,yes,,
heat exchanger,CFIHOS-30001017,double pipe heat exchanger,"A heat exchanger that consists of two co-axial pipes of different sizes, where one fluid passes though the  inner pipe and the other fluid passes through the space between the inner and the outer pipes.",no,yes,,
electrical equipment class,CFIHOS-30001018,harmonic filter,A physical object that is a passive circuit that attenuates all signals except those within one or more frequency bands.,no,yes,,
separator,CFIHOS-30001019,heater treater,A 2 or 3-phase separator vessel that utilizes heat and mechanical separation devices to facilitate the separation of oil-water emulsions.,no,yes,,
pumpjack,CFIHOS-30001020,long-stroke pumpjack,A non-beam type pump jack that uses a longer stroke.,no,yes,,
manual valve,CFIHOS-30001021,pinch valve,"A membrane valve that is comprising a flexible tube, either exposed or enclosed in a body. The tube is pinched to close by mechanical means.",no,yes,,
infrastructure,CFIHOS-30001022,piling,Heavy stakes or posts installed to support the foundations of a superstructure.,no,no,,
relief valve,CFIHOS-30001023,pin-actuated pressure relief valve,A non-reclosing pressure-relief device actuated by the static differential pressure between the inlet and outlet of the device.,no,yes,,
plate heat exchanger,CFIHOS-30001024,plate fin heat exchanger,A non-corrugated plate heat exchanger that has flat core plates separated by u-shaped fins or corrugated plates.,no,yes,,
conveyor,CFIHOS-30001025,pneumatic conveyor,"A conveyor for transporting dry, free flowing, granular material in suspension within a pipe or duct by means of a high-velocity airstream or by the energy of expanding compressed air within a comparatively dense column of fluidized or aerated material.",no,yes,,
pumpjack,CFIHOS-30001026,beam pumpjack,A pump jack that converts rotary motion to vertical reciprocating motion.,no,yes,,
vessel,CFIHOS-30001027,silo,A vessel that has a bottom in the shape of a cone and is intended to store solid particles.,no,yes,,
electrical equipment class,CFIHOS-30001028,thermoelectric generator,A solid state device that converts heat flux (temperature differences) directly into electrical energy.,no,no,,
tank,CFIHOS-30001029,tote tank,A tank which is supposed to be transported.,no,yes,,
control valve,CFIHOS-30001030,trip and throttle valve,Trip & throttle valves provide flow control and emergency shut-off operation for steam turbines in a single valve assembly.,no,yes,,
tank,CFIHOS-30001031,underground storage tank,A tank (or a combination of tanks) and connected underground piping having at least 10 percent of their combined volume underground.,no,yes,,
pump,CFIHOS-30001032,vacuum pump,A pump that utilizes a liquid annulus held by centrifugal force around the inside of a casing by a single rotor-impeller to compress vapour isothermally.,no,yes,,
conveyor,CFIHOS-30001033,vibrating conveyor,"A conveyor that is a tubular or flat trough with slides, to which vibrators are attached. The latter impart an upward and forward conveying movement to bulk materials in the trough.",no,yes,,
infrastructure,CFIHOS-30001034,windsock,"A windsock, or wind cone, is a conical textile tube that resembles a giant sock. Windsocks can be used as a basic guide to wind direction and speed.",no,no,,
turbine,CFIHOS-30001035,wind turbine,A turbine that converts the kinetic energy of the wind into electrical power.,no,yes,,
