Source standard document and data requirement CFIHOS unique code,tag class CFIHOS unique code,tag class name,source standard CFIHOS unique code,source standard code,source standard document and data requirement number,source standard document and data requirement title,source standard document and data requirement typical deliverable,source standard document and data requirement description,source standard document and data requirement comment,document and data requirement type code,document and data requirement group code,engineering standard source chapter,discipline CFIHOS unique code,discipline name,document type CFIHOS unique code,document type name,default submit at proposal indicator,default submit for review indicator,default submit at delivery indicator,default issue for review number of weeks,default issue for review reference date,default issue for approval number of weeks,default issue for approval reference date,default for information number of weeks,default for information reference date,default required handover status code,default required translation indicator,deliverable format code
CFIHOS-68000158,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,MD#08,"Handling, shipping, storage and preservation procedure","handling, shipping and storage procedure","Definition of practices to be followed during the; storage, transport, lifting and preservation of the equipment and materials included in the scope of supply to maintain their  functionality and guarantees.Procedures typically define:a) Packaging requi",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000154,"handling, shipping, storage procedure",no,yes,yes,,,,,,WAO,AFC,no,
CFIHOS-68000159,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,MD#09,Non-conformance records,nonconformance history,Details of  non-conformances raised by or to the manufacturer/sub-suppliers against  technical requirements prior to or during the delivery of the products or services. Non-conformance is managed by the manufacturer in accordance with ISO9001 Clause 8.7 a,,equipment,contract management information deliverables,"S-562, Table J4, 31",,,CFIHOS-70000226,non conformance report,no,yes,yes,,,,,,WAO,AFC,no,
CFIHOS-68000159,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,MD#09,Non-conformance records,nonconformance history,Details of  non-conformances raised by or to the manufacturer/sub-suppliers against  technical requirements prior to or during the delivery of the products or services. Non-conformance is managed by the manufacturer in accordance with ISO9001 Clause 8.7 a,,equipment,contract management information deliverables,"S-562, Table J4, 31",,,CFIHOS-70000226,non conformance report,no,yes,yes,,,,,,WAO,AFC,no,
CFIHOS-68000160,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,MD#10,Concession requests,concession request,"Formal submission seeking purchaser agreement to accept deviations from the contracted scope or technical requirements. Requests may be raised as a result of, as examples, material or service availability, obsolescence, innovation, non-conformance.Reques",,equipment,contract management information deliverables,"S-562, Table J4, 32",,,CFIHOS-70000389,technical deviation request,no,no,yes,,WPTD,,WPTD,,,AFD,no,
CFIHOS-68000160,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,MD#10,Concession requests,concession request,"Formal submission seeking purchaser agreement to accept deviations from the contracted scope or technical requirements. Requests may be raised as a result of, as examples, material or service availability, obsolescence, innovation, non-conformance.Reques",,equipment,contract management information deliverables,"S-562, Table J4, 32",,,CFIHOS-70000389,technical deviation request,no,no,yes,,WPTD,,WPTD,,,AFD,no,
CFIHOS-68000161,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#01,General arrangement drawings,valve and operator drawing,"Drawings presenting the main dimensions of the valves using 2D views, top-view, side-view and sometimes front-view.The manufacturer's standard general arrangement drawing is to be delivered.Typical information to be included as minimum (where applicable",,equipment,technical information deliverables,"S-562, Table J4, 1",,,CFIHOS-70000153,general arrangement diagram,yes,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000161,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#01,General arrangement drawings,valve and operator drawing,"Drawings presenting the main dimensions of the valves using 2D views, top-view, side-view and sometimes front-view.The manufacturer's standard general arrangement drawing is to be delivered.Typical information to be included as minimum (where applicable",,equipment,technical information deliverables,"S-562, Table J4, 1",,,CFIHOS-70000153,general arrangement diagram,yes,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000162,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#02,Cross-sectional assembly drawings,valve and operator drawing,"The manufacturer's standard detail cross sectional drawing is to be delivered, when following content requirements are met:- Part list with material description.- Part numbers can be included or delivered through recommended spare parts list, and is thu",,equipment,technical information deliverables,"S-562, Table J4, 2",,,CFIHOS-70000017,assembly diagram,no,yes,yes,,,,,,WAO,AFC,no,
CFIHOS-68000162,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#02,Cross-sectional assembly drawings,valve and operator drawing,"The manufacturer's standard detail cross sectional drawing is to be delivered, when following content requirements are met:- Part list with material description.- Part numbers can be included or delivered through recommended spare parts list, and is thu",,equipment,technical information deliverables,"S-562, Table J4, 2",,,CFIHOS-70000017,assembly diagram,no,yes,yes,,,,,,WAO,AFC,no,
CFIHOS-68000163,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#03,Gearbox assembly drawings,gearbox drawing,Typical drawing of manual gearbox to include: - Seal design - Parts list including all parts of gearbox with functional part description and material standard used,,equipment,technical information deliverables,"S-562, Table J4, 3",,,CFIHOS-70000017,assembly diagram,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000163,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#03,Gearbox assembly drawings,gearbox drawing,Typical drawing of manual gearbox to include: - Seal design - Parts list including all parts of gearbox with functional part description and material standard used,,equipment,technical information deliverables,"S-562, Table J4, 3",,,CFIHOS-70000017,assembly diagram,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000164,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#04,Name plate drawing,nameplate drawing,Electronic version of Drawing of the nameplate used on valve (both native and PDF) will be provided by the manufacturer.,,equipment,technical information deliverables,"S-562, 11",,,CFIHOS-70000445,name plate diagram,no,yes,yes,,,,,,WPTD,AFC,no,
CFIHOS-68000164,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#04,Name plate drawing,nameplate drawing,Electronic version of Drawing of the nameplate used on valve (both native and PDF) will be provided by the manufacturer.,,equipment,technical information deliverables,"S-562, 11",,,CFIHOS-70000445,name plate diagram,no,yes,yes,,,,,,WPTD,AFC,no,
CFIHOS-68000165,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#05,Design calculations,design calculations,"Calculations confirming compliance with S-562 Par. 5.1, 5,19, 5.20, FEA report per 5.30 for applicable design and pressure/ratings combinations.",,equipment,technical information deliverables,"S-562, 5.1",,,CFIHOS-70000086,design calculation,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000165,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#05,Design calculations,design calculations,"Calculations confirming compliance with S-562 Par. 5.1, 5,19, 5.20, FEA report per 5.30 for applicable design and pressure/ratings combinations.",,equipment,technical information deliverables,"S-562, 5.1",,,CFIHOS-70000086,design calculation,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000166,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#06,Heat treatment procedures,heat treatment procedures,"Detailed procedures defining processes which are subject to special control for compliance with Buyer's specification including heating, soaking, cooling and quenching parameters and furnace loading diagrams to ensure even heat distribution, limits of str",,equipment,technical information deliverables,"S-562, 13.1, c)",,,CFIHOS-70000147,heat treatment procedure,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000166,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#06,Heat treatment procedures,heat treatment procedures,"Detailed procedures defining processes which are subject to special control for compliance with Buyer's specification including heating, soaking, cooling and quenching parameters and furnace loading diagrams to ensure even heat distribution, limits of str",,equipment,technical information deliverables,"S-562, 13.1, c)",,,CFIHOS-70000147,heat treatment procedure,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000167,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#07,Pressure test procedures,pressure test procedures,"Detailed procedures for compliance with Buyer's specifications including duration of test, quality of test medium, confirmation of no leakage.Note - Buyer specific approval required for all pneumatic testing.",,equipment,technical information deliverables,"S-562, 13.1, c)",,,CFIHOS-70000286,pressure test procedure,no,yes,yes,,,,,,WPTT,AFD,no,
CFIHOS-68000167,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#07,Pressure test procedures,pressure test procedures,"Detailed procedures for compliance with Buyer's specifications including duration of test, quality of test medium, confirmation of no leakage.Note - Buyer specific approval required for all pneumatic testing.",,equipment,technical information deliverables,"S-562, 13.1, c)",,,CFIHOS-70000286,pressure test procedure,no,yes,yes,,,,,,WPTT,AFD,no,
CFIHOS-68000168,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#08,Painting procedures,coating procedures,"This is required to be supplied for all equipment and to include as a minimum: surface cleaning and preparation, environmental controls for both shop and field painting, lining (where applicable) and repairs to damaged coatings.",,equipment,technical information deliverables,"S-562, 13.1, c)",,,CFIHOS-70000384,surface protection procedure,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000168,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#08,Painting procedures,coating procedures,"This is required to be supplied for all equipment and to include as a minimum: surface cleaning and preparation, environmental controls for both shop and field painting, lining (where applicable) and repairs to damaged coatings.",,equipment,technical information deliverables,"S-562, 13.1, c)",,,CFIHOS-70000384,surface protection procedure,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000169,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#09,"Installation, operation, and maintenance instructions","installation, operation and maintenance manual","The manufacturer's standard IOM manual is required to be delivered.This document is required toprovide sufficient information to install, operate and maintain the equipment.This document is required to also provide sufficient information for troubleshoo",,equipment,technical information deliverables,,,,CFIHOS-70000228,operating manual,no,yes,yes,,,,,,WPTD,AFD,no,
CFIHOS-68000169,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#09,"Installation, operation, and maintenance instructions","installation, operation and maintenance manual","The manufacturer's standard IOM manual is required to be delivered.This document is required toprovide sufficient information to install, operate and maintain the equipment.This document is required to also provide sufficient information for troubleshoo",,equipment,technical information deliverables,,,,CFIHOS-70000228,operating manual,no,yes,yes,,,,,,WPTD,AFD,no,
CFIHOS-68000170,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#10,Lifting points certification and handling Instructions.,certificates & instructions.,Lifting points SWL/load test certification and Lifting handling Instructions.,,equipment,technical information deliverables,"S-562, Table J4, 13",,,CFIHOS-70000432,lifting certificate,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000170,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#10,Lifting points certification and handling Instructions.,certificates & instructions.,Lifting points SWL/load test certification and Lifting handling Instructions.,,equipment,technical information deliverables,"S-562, Table J4, 13",,,CFIHOS-70000432,lifting certificate,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000171,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#11,Fire type-test certificate,fire type-test certificate,Fire test certificates are required to be provided where required by Purchase Order and / or statutory requirements.,,equipment,technical information deliverables,"S-562, Table J4, 12",,,CFIHOS-70000160,hazardous area certificate,no,yes,yes,,,,,,WAT,AFD,no,
CFIHOS-68000171,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#11,Fire type-test certificate,fire type-test certificate,Fire test certificates are required to be provided where required by Purchase Order and / or statutory requirements.,,equipment,technical information deliverables,"S-562, Table J4, 12",,,CFIHOS-70000160,hazardous area certificate,no,yes,yes,,,,,,WAT,AFD,no,
CFIHOS-68000172,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#12,Calibration certificates,calibration certificates,"Calibration certificates on pressure test equipment used (e.g. pressure gauges, transducers, and chart recorders)",,equipment,technical information deliverables,"S-562, Table J4, 13",,,CFIHOS-70000415,calibration certificate,no,yes,yes,,,,,,WAT,AFD,no,
CFIHOS-68000172,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#12,Calibration certificates,calibration certificates,"Calibration certificates on pressure test equipment used (e.g. pressure gauges, transducers, and chart recorders)",,equipment,technical information deliverables,"S-562, Table J4, 13",,,CFIHOS-70000415,calibration certificate,no,yes,yes,,,,,,WAT,AFD,no,
CFIHOS-68000173,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#13,Heat-treatment records,material certificates,"Heat-treatment records including times and temperatures, e.g. charts",,equipment,technical information deliverables,"S-562, Table J4, 14",,,CFIHOS-70000412,material certificate,no,yes,yes,,,,,,WPTD,AFD,no,
CFIHOS-68000173,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,S-562#13,Heat-treatment records,material certificates,"Heat-treatment records including times and temperatures, e.g. charts",,equipment,technical information deliverables,"S-562, Table J4, 14",,,CFIHOS-70000412,material certificate,no,yes,yes,,,,,,WPTD,AFD,no,
CFIHOS-68000174,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,S-562#14,Hardness test report (pressure-controlling parts),material certificates,"For sour service valves, certificate of conformance to ANSI/NACE MR0175/ISO 15156",,equipment,technical information deliverables,"S-562, Table J4, 15",,,CFIHOS-70000412,material certificate,no,yes,yes,,,,,,WPTD,AFD,no,
