CFIHOS unique code,CFIHOS name,CFIHOS description,CFIHOS definition file
CFIHOS-10000267,source standard document and data requirement number,"A number, assigned sequentially, to associate the VDDR to the engineering standard",entity attribute
CFIHOS-10000268,source standard document and data requirement title,"The title, as spelled in the engineering standard, of the VDDR",entity attribute
CFIHOS-10000269,source standard document and data requirement typical deliverable,A short description of the information deliverable that would typically include this document and data requirement,entity attribute
CFIHOS-10000270,source standard document and data requirement description,"A precise description, as documented in the engineering standard, of the VDDR in term of what the content of the document shall be",entity attribute
CFIHOS-10000271,engineering standard source chapter,The chapter of the engineering standard from which originates the VDDR,entity attribute
CFIHOS-10000272,default submit at proposal indicator,An indicator whether documents having for content this VDDR shall be submitted by the 'vendor' during the ITT process or not,entity attribute
CFIHOS-10000273,default submit for review indicator,An indication whether documents having for content this requirement shall be submitted  by the vendor for review or not,entity attribute
CFIHOS-10000274,default submit at delivery indicator,An indicator whether document having for content this VDDR shall be delivered by the 'vendor' at the same time as the delivery of the material or service.,entity attribute
CFIHOS-10000275,default issue for review number of weeks,"The number of weeks that, by default, should  be used, by the vendor, vs the reference date, to provide documents containing this VDDR for review",entity attribute
CFIHOS-10000276,default issue for review reference date,A code that uniquely identifies a document submission reference date,entity attribute
CFIHOS-10000277,default issue for approval number of weeks,"The number of weeks that, by default, should  be used, by the vendor, vs the reference date, to provide documents containing this VDDR for approval",entity attribute
CFIHOS-10000278,default issue for approval reference date,A code that uniquely identifies a document submission reference date,entity attribute
CFIHOS-10000279,default for information number of weeks,"The number of weeks that, by default, should  be used, by the vendor, vs the reference date, to provide documents containing this VDDR for final issue",entity attribute
CFIHOS-10000280,default for information reference date,A code that uniquely identifies a document submission reference date,entity attribute
CFIHOS-10000281,default required handover status code,The required status of the document at handover time,entity attribute
CFIHOS-10000282,default required translation indicator,An indication whether a document needs to be translated (for regulatory reason or operation reasons) or not,entity attribute
CFIHOS-10000283,source standard document and data requirement comment,A remark that the originator of the document and data requirement for this source standard wanted to capture,entity attribute
CFIHOS-10000284,application condition group code,A code that uniquely identifies a group of application conditions,entity attribute
