CFIHOS unique code,section,object,entity name,property name,entity attribute name,definition,note / comment,example,identifier / mandatory / optional,format,constraint must be present in,data source,former section (if different from last published version),relationship verb
CFIHOS-10000299,,attribute:,purchase order item expected event,purchase order item number,,A code that uniquely identifies an item in a purchase order,,Example : 0012,Identifier,Integer,purchase order item,,,is subject to
CFIHOS-10000128,,attribute:,purchase order item expected event,purchase order number,,A unique code used to identify the purchase order within the company issuing the purchase order,,Example : 00058,Identifier,"Text, max 50 characters",purchase order item,,,is subject to
CFIHOS-00000110,A.4.21,entity:,purchase order item for model part,,,A purchase order item for a model or a part,,,,,,Mix Owner/Operator and EPC,,
CFIHOS-10000158,,attribute:,purchase order item for model part,manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,,Example : Flowserve,Mandatory,"Text, max 30 characters",model part,,,is ordered in
CFIHOS-10000159,,attribute:,purchase order item for model part,model part name,,A unique name to identify the model part of the manufacturer,,Example : A4 V726 PN 40,Mandatory,"Text, max 100 characters",model part,,,is ordered in
CFIHOS-10000180,,attribute:,purchase order item for model part,purchase order issuer company name,,The name of the company issuing the purchase order,,Example : Engineering and co Ltd,Identifier,"Text, max 30 characters",purchase order item,,,is subtype of
CFIHOS-10000299,,attribute:,purchase order item for model part,purchase order item number,,A code that uniquely identifies an item in a purchase order,,Example : 0012,Identifier,Integer,purchase order item,,,is subtype of
CFIHOS-10000128,,attribute:,purchase order item for model part,purchase order number,,A unique code used to identify the purchase order within the company issuing the purchase order,,Example : 00058,Identifier,"Text, max 50 characters",purchase order item,,,is subtype of
CFIHOS-00000111,A.4.22,entity:,purchase order item for bulk,,,A purchase order item for some goods in bulk,,,,,,Mix Owner/Operator and EPC,,
CFIHOS-10000180,,attribute:,purchase order item for bulk,purchase order issuer company name,,The name of the company issuing the purchase order,,Example : Engineering and co Ltd,Identifier,"Text, max 30 characters",purchase order item,,,is subtype of
CFIHOS-10000299,,attribute:,purchase order item for bulk,purchase order item number,,A code that uniquely identifies an item in a purchase order,,Example : 0012,Identifier,Integer,purchase order item,,,is subtype of
CFIHOS-10000128,,attribute:,purchase order item for bulk,purchase order number,,A unique code used to identify the purchase order within the company issuing the purchase order,,Example : 00058,Identifier,"Text, max 50 characters",purchase order item,,,is subtype of
CFIHOS-00000112,A.4.23,entity:,purchase order item for tag,,,A purchase order item that refers to one or more tags,,,,,,Mix Owner/Operator and EPC,,
CFIHOS-10000180,,attribute:,purchase order item for tag,purchase order issuer company name,,The name of the company issuing the purchase order,,Example : Engineering and co Ltd,Identifier,"Text, max 30 characters",purchase order item,,,is subtype of
CFIHOS-10000299,,attribute:,purchase order item for tag,purchase order item number,,A code that uniquely identifies an item in a purchase order,,Example : 0012,Identifier,Integer,purchase order item,,,is subtype of
CFIHOS-10000128,,attribute:,purchase order item for tag,purchase order number,,A unique code used to identify the purchase order within the company issuing the purchase order,,Example : 00058,Identifier,"Text, max 50 characters",purchase order item,,,is subtype of
CFIHOS-00000137,A.4.27,entity:,deliverable format,,,A format required to be used by the supplier of information in conformance with JIP33 standard,,,,,,RDL Pick list,,
CFIHOS-10000365,,attribute:,deliverable format,deliverable format code,,A code that uniquely identifies the format of the deliverable,,Example : PDF,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000366,,attribute:,deliverable format,deliverable format description,,A description of what the deliverable format represents,,Example : Portable Document Format,Optional,"Text, max 100 characters",,,,
CFIHOS-00000051,A.4.31,entity:,coding source,,,"A system that has similarities to CFIHOS, and has been coding the objects relevant to CFIHOS in a different way",,,,,,RDL Pick list,,
CFIHOS-10000205,,attribute:,coding source,CFIHOS coding equivalent source description,,A description of what that coding source is,,"Example : A non-profit global-standardisation member organisation that shall promote the development of open specifications to be used as standards for enabling the interoperability of data, software and related matters.",Optional,"Text, max 255 characters",,,,
CFIHOS-10000204,,attribute:,coding source,coding source code,,A code that uniquely identifies the system that has been assigning codes to objects relevant to CFIHOS,,Example : POSC CAESAR,Identifier,"Text, max 20 characters",,,,
CFIHOS-00000052,A.4.32,entity:,CFIHOS object equivalent mapping,,,A code assigned by a coding source to a tag class,,,,,,RDL,,
CFIHOS-10000206,,attribute:,CFIHOS object equivalent mapping,CFIHOS code equivalent value,,"The code, assigned in the coding source, to the object that is equivalent to the CFIHOS object",,Example : RDS11590210,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000146,,attribute:,CFIHOS object equivalent mapping,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to an object in the CFIHOS RDL",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",property,,,is alternatively coded
CFIHOS-10000204,,attribute:,CFIHOS object equivalent mapping,coding source code,,The system that has been assigning codes to objects relevant to CFIHOS,,Example : POSC CAESAR,Identifier,"Text, max 20 characters",coding source,,,provides a code for
CFIHOS-00000029,A.5.01,entity:,property,,,"A type of feature that is used to distinguish and describe tags, equipment, models) or their class","Alias attribute, characteristic.",,,,,RDL,,
