discipline document type CFIHOS unique code,discipline CFIHOS unique code,discipline code,discipline name,document type CFIHOS unique code,document type short code,document type name,document type description,discipline document type short code,asset type reference,representation type,native file delivery timing,native document format,authenticated record format,required document status for detailed engineering,required document status for construction,required document status for commissioning,required document status for startup,required document status for operations,review type,discipline document type comment,hardcopy document required,translated document required,document type synonym name
CFIHOS-20000798,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000129,0703,"escape, evacuation, rescue assessment",An assessment which details the emergency evacuation and rescue means from a facility.,HX0703,Plant,Text,at handover,,,not specified,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000799,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000141,0704,"fire, explosion assessment",An assessment which details the fire and explosion propagation and risks based on facility design.,HX0704,Plant,Text,at handover,,,IFD,IFD,not specified,not specified,IFD,not specified,,,,
CFIHOS-20000800,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000318,0709,risk assessment,An assessment which details the quantitative or qualitative risk related to a specific scenario presented to 'company'.,HX0709,Tag,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000801,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000372,0713,social impact assessment,An assessment which details the impact of facility on the surrounding community and infrastructure.,HX0713,Plant,Text,at handover,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000802,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000234,0780,general assessment,"An assessment which details a health check, GAP analysis, etc. both informal and to meet 'project management framework' requirements. Not to be used if a more specific document type can be used. Can be used for singular/specialty deliverables which do not have a unique document type.",HX0780,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000803,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000138,1212,fire extinguishant calculation,Calculations to prove that a given quantity of agent will be delivered at a set rate & time. Note: Applicable to fixed fire suppression systems designed specifically for room protection.  Water mist will also be used for turbine enclosure protection.,HX1212,Process_Unit,Structured Data,at handover,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20000804,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000312,1222,"reliability, availability, safety integrity level calculation",Demonstrates starting and operating reliability / availability of purchased equipment  (e.g. mean time between failure data) & 'safety integrity level' (SIL) calculations.,HX1222,Equipment,Structured Data,during project,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20000805,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000160,1415,hazardous area certificate,"A document issued by a recognised independent authority certifying that a type test has satisfied the specified standards; e.g.  ATEX, BASEEFA, PTB, UL, CSA, etc. Examples of ratings include 'intrinsically safe & explosion proof'.",HX1415,Equipment,Raster Image,not applicable,,,not specified,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000807,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000225,2110,noise datasheet,A datasheet which provides information about the noise limits for the equipment to be supplied.,HX2110,Equipment,Structured Data,at handover,,,IFD,IFD,IFD,not specified,IAB,not specified,,,,
CFIHOS-20000808,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000105,2318,emergency exits diagram,"A diagram detailing escape routes, means of emergency escape/egress.",HX2318,Plant,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IFC,IFC,not specified,,,,
CFIHOS-20000809,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000162,2334,hazardous area classification diagram,A diagram which provides information on the level of explosion proofing etc. required in each area.,HX2334,Plant,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,electrical area classification
CFIHOS-20000810,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000271,2356,passive fire protection diagram,A diagram of structural and module layout drawings detailing the passive fire protection i.e. firewall/boundary fire protection ratings.,HX2356,Plant,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20000813,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000390,3323,technical note,A communication documenting how an engineering or maintenance issue will be resolved and what the implication of the solution is.,HX3323,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000814,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000176,3705,incident report,"A report issued to achieve timely notification report of any accident incident occurring during the projects, including on-site, in contractors offices, etc. Severity requirements to be specified by 'owner/operator'.",HX3705,Tag,Text,not applicable,,,IFI,IFI,IFI,IFI,IFI,not specified,,,,
CFIHOS-20000816,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000153,4018,general arrangement diagram,A diagram showing the main features and locations of major items. Usually has some dimensions to convey spatial relationships but is generally inadequate for construction.,HX4018,Tag,Intelligent vector drawing (CAD),during project,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20000818,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000004,4301,action list,"A collection of activities tracking responsible parties and status, including but not limited to punch lists, issues lists, and check lists.",HX4301,Equipment,Structured Data,during project,,,IFI,IFI,IFI,IFI,IFI,not specified,,,,punch list;issue list;check list
CFIHOS-20000820,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000140,5511,fire protection philosophy,"A document outlining the premise and intent for  fire protection both passive (firewalls) and active (manual, foam, monitor, deluge/sprinkler systems etc.) in a facility.",HX5511,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000821,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000253,5680,general philosophy,A document outlining the premise and intent for decisions that are to be followed regarding a specific subject. Typically provided as instruction from 'owner operator'.,HX5680,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000823,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000354,5788,waste management plan,A document capturing what particular activities and requirements will be executed and delivered to support management and safe disposal of all waste.,HX5788,Plant,Text,not applicable,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000824,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000404,5798,project plan,"A document capturing key discipline execution plans applicable across the project scope (e.g., IM Plan, Execution Plan).",HX5798,Plant,Text,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,project execution plan
CFIHOS-20000825,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000255,5880,general plan,A document capturing what particular activities and requirements will be executed and delivered.  Typically the plan is built upon a strategy.,HX5880,Plant,Text,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000826,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000265,5980,general strategy,A document outlining the application of a philosophical stance for decisions and the resulting principles that are to be followed to achieve the intent. Typically developed based on a philosophy.,HX5980,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000827,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000106,6019,emergency response procedure,A procedure detailing how the facility would respond to an emergency and how personnel would be able to evacuate. As defined for 'facilities operations' and for 'pipeline operations'.,HX6019,Site,Text,at handover,,,IFU,IFU,IFU,IAB,IAB,not specified,,,,
CFIHOS-20000828,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000256,6180,general procedure,A document which describes a set of logically sequenced instructions to execute an activity. Not to be used if a more specific document type can be used.  Can be used for singular/speciality deliverables which do not have a unique document type.,HX6180,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000829,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000159,6613,"hazard, effect register","An authoritative collection of all individual point sources for emissions, discharge inventories and corresponding zone classifications. The columns of this collection are specified and controlled.",HX6613,Tag,Structured Data,during project,,,IFD,IFC,IFC,IFC,IFC,not specified,,,,
CFIHOS-20000830,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000258,6680,general register,An authoritative collection of values with a relationship to a specific topic or object that could be either technical or business related.  The columns of this collection are specified and controlled.,HX6680,Plant,Structured Data,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000832,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000005,6802,active fire protection system specification,"Design data and information that forms the basis of the performance specification for the active fire fighting systems (manual, foam, monitor, deluge/sprinkler systems etc.).",HX6802,Process_Unit,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000835,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000156,6873,hazard identification report,"A report summarizing all project (HAZID) exercises. Usually includes action lists, follow up, and close out action descriptions and acceptance.",HX6873,Tag,Text,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000837,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000158,6875,hazard and operability report,"A report summarizing all project HAZOP studies. To include action lists, follow up and close out action descriptions and acceptance.",HX6875,Tag,Text,at handover,,,IFU,IFU,IFU,IAB,IAB,not specified,,,,
CFIHOS-20000838,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000174,6881,safety critical elements register,"An authoritative collection of all safety critical elements (SCE), as defined by company.  The columns of this collection are specified and controlled.",HX6881,Tag,Structured Data,during project,,,IFD,IFC,IFC,IFC,IFC,not specified,,,,
